,書名,作者,出版日期,內容介紹,網址
1,純素起司Vegan Cheese：第一本100%純天然起司全書!零蛋奶、無麩質、高蛋白的健康新選擇,Mariko,2020-08-27,"
●超市買不到X市面唯一的「純素起司」自製食譜● 《阿凡達》劇組御用的純素料理家Mariko親自研發， 只用「豆漿、豆腐和堅果」製作，超越普通起司的美味與健康， 天然高營養的飲食․不藏私公開   ◎什麼是純素...more
",https://www.books.com.tw/products/0010867309?loc=P_0003_001
2,餐桌上的中式香料百科：從飲食軼事到色香味用，厚實料理深度的香料風味事典,"潘瑋翔,盧俊欽",2020-06-11,"
詳解中式香料的第一本全風味事典!  不只是圖鑑，還有更多香料的色香味與飲食軼事， 跟著說香人的角度，深入理解中式香料的魅力!  八角、枸杞、胡椒、花椒、紅棗、人蔘、肉桂…… 這些我們再熟悉不過的味道，...more
",https://www.books.com.tw/products/0010860020?loc=P_0003_002
3,乳酪聖經：歷史、風土、餐搭，全面介紹400款世界知名乳酪的用乳來源、製作祕方與產區地圖,崔斯坦・希卡爾,2020-05-30,"
美食愛好者必備品味圖鑑 最新、最完整的乳酪圖鑑 適合乳酪初心者，或是重度饕客 歷史 風土 餐搭 超過400款世界知名乳酪的小知識、大百科 乳酪的味道源自何處? 為什麼乳酪有孔洞? 乳酪為何有不同的顏色? 一...more
",https://www.books.com.tw/products/0010858881?loc=P_0003_003
4,世界起司圖鑑214款：國際級熟成師嚴選,久田早苗,2020-05-13,"
由全日本第一位起司熟成師嚴選，   囊括日本與世界16個國家共214種起司詳解。   內容包括起司相關知識、高明的購買方式，以及最適合品嚐的時機等。   還收錄各式各樣的食材搭配與常見食譜。   作者有一半...more
",https://www.books.com.tw/products/0010855593?loc=P_0003_004
5,風味達人的文字味覺：水平思考的廚房事典,妮姬．薩格尼特,2020-04-30,"
暢銷書《風味事典》作者妮姬.薩格尼特全新力作 有限食材的無限組合，在廚房中以直覺和本能玩出萬千創意!  ——世界名廚、《耶路撒冷》(Jerusalem) 作者 尤坦・奧圖蘭吉(Yotam Ottolenghi)專文推薦——  你知道...more
",https://www.books.com.tw/products/0010855570?loc=P_0003_005
6,來自日本NHK 打造健康身體的食材大全,"三浦理代,加藤光敏,山本謙治,池上文雄,河野　博",2020-04-01,"
最具公信力的日本放送協會，《NHK今日料理》月刊60週年紀念大作， 完整收錄超過1000種食材&營養素情報!知識滿載，健康滿點!   ★ 日本知名營養師、藥劑師、醫學、農學博士、飲食記者聯手出擊。   ★ 全彩印...more
",https://www.books.com.tw/products/0010853151?loc=P_0003_006
7,肉事典：133個讓你完全了解各種食用肉的小常識(二版),実業之日本社,2020-02-05,"
了解越深，越能品嘗到美味! 只要知道小秘訣，就能更美味，更開心地享受各種肉。   包括牛、豬、雞肉、羊、火腿、熱狗、內臟、野味等，總共介紹有133種。   讓你充分了解各種食用肉的風味、口感、保存方法...more
",https://www.books.com.tw/products/0010847422?loc=P_0003_007
8,香料聖經：54種香料元素x12個風味群組x 7大世界香料產地，最全面的香料科學知識與超過千種香料組合與搭配,斯圖亞特・法里蒙,2020-01-19,"
香料迷必不可錯過的終極聖經 第一本全球最詳盡的香料成份與搭配聖經，從化學成分剖析香料的科學秘密，顛覆你的烹飪思維! ★出版後蟬聯英國Amazon生物化學與有機化學排行榜NO. 1 ★將世界香料分為七大區：中...more
",https://www.books.com.tw/products/0010843312?loc=P_0003_008
9,水果看人吃：你的體質適合吃水果嗎?了解體質，遠離致病的水果地雷,"楊淑媚,蔡昆道",2019-12-24,"
大家都說吃水果好健康，多吃水果營養才均衡，   但事實上，如果你不了解自己的體質，吃了不應該吃的水果，   可能反而會造成脂肪肝、便祕、筋骨痠痛、腹瀉、牙齦腫脹等症狀與不適……   水果看體質吃，也看...more
",https://www.books.com.tw/products/0010842901?loc=P_0003_009
10,魚貝海鮮料理事典：世界級的夢幻魚貝食材，圖鑑食譜，一本搞定!,凱特‧懷特曼,2019-12-12,"
156種魚貝海鮮X106道料理豪華全收錄!   此等美味只應海中有!   來自大海的豐盛恩賜，讓味蕾綻放的絕讚滋味   營養滿點的海味食材大全，   從海洋到餐桌，從挑選到料理，   可以清爽，也可以超豪華!   魚貝...more
",https://www.books.com.tw/products/0010842170?loc=P_0003_010
