,書名,作者,出版日期,內容介紹,網址
1,烘焙餅乾蛋糕,吳金燕,2020-09-04,"
作者長期在學校和烘焙教室授課，教學經驗豐富，   將多年的教學成果和常見問題融入本書，   收錄最常見、最受歡迎的蛋糕、餅乾、麵包和點心作法，   無論是繽紛美味的蛋糕、酥脆香甜的手工餅乾、酥軟或有...more
",https://www.books.com.tw/products/0010869800?loc=P_0003_001
2,餅乾小禮盒：10類經典餅乾×57種甜蜜滋味×禮盒包裝示範,宋淑娟（Jane）,2020-05-13,"
最受歡迎的曲奇餅、奶油酥餅， 歐陸經典布列塔尼、蛋白餅、莎布蕾， 好做不失敗的冰箱餅乾、美式餅乾， 以及孩子最愛的雪球與米餅乾。 詳細步驟示範，事前準備與各步驟小提醒， 加上禮盒包裝示範， 烘焙新...more
",https://www.books.com.tw/products/0010857084?loc=P_0003_002
3,美式手工餅乾：紐約名店の祕密食譜大公開!簡單食材✕家用烤箱， 在家做出鬆軟溫熱的世界級美味!,李承原,2020-02-06,"
Jennifer的烘焙圖文筆記、不萊嗯的烘焙廚房、房太廚Nick、甜點架式Jas My Diary.   ──烘焙達人一致推薦!   揭開紐約三大餅乾名店的超人氣祕密，這輩子一定要吃一次的極品甜點!   Gucci時裝秀指定、韓國總...more
",https://www.books.com.tw/products/0010847963?loc=P_0003_003
4,餅乾研究室Ⅱ暢銷典藏版：口感造型全面提升!七大原料深入解析，配方研發終極寶典大公開,林文中,2019-12-12,"
萬人期待!《餅乾研究室Ⅱ》精彩上市!   達人的研發筆記完全揭密   清楚解析同屬性原料差異   詳細說明原料抽換比例     還記得《餅乾研究室Ⅰ》裡，達人無私分享的餅乾配方比例架構嗎?   以三大基礎餅乾原料...more
",https://www.books.com.tw/products/0010840883?loc=P_0003_004
5,餅乾研究室Ⅰ暢銷典藏版：搞懂關鍵原料!油+糖+粉，學會自己調比例、寫配方,林文中,2019-12-12,"
名店研發達人無私分享! 第一本!破解餅乾口感VS.材料配比關鍵 揭密材料特性，掌握餅乾脆、硬、鬆、酥終極配方比 一本在手，變化無限，學會自己寫配方!   「餅乾」，是進入烘焙世界最簡單的入門品項，成功率...more
",https://www.books.com.tw/products/0010840882?loc=P_0003_005
6,超綺麗!甜貓教你玩3D立體糖霜：10堂課創造屬於自己的夢幻作品,甜貓小姐,2019-08-01,"
全台第一本3D情境立體糖霜 讓手上餅乾充滿更鮮活的想像   餅乾不再只是平面的表現!   詩情畫意的10幅作品，   將數不盡的彩蛋埋進收藏者的心裡。   不論是淋完一場櫻花雨的「落雨櫻」、   森林深處點上溫...more
",https://www.books.com.tw/products/0010829374?loc=P_0003_006
7,呂昇達 甜點職人必備的手工餅乾教科書,呂昇達,2019-07-04,"
華麗美味的手工餅乾原來這麼簡單! ─職人等級x進階配方x家用烤箱─ ღ完全公開。職人開店等級的配方與關鍵技巧，不藏私 ღ一學就會。獻給初學者，將專業做法化繁為簡 ღ輕鬆簡單。僅需家庭式烤箱即可完美烘焙 ...more
",https://www.books.com.tw/products/0010825918?loc=P_0003_007
8,胖次熊造型夾心餅乾：零失敗配方╳超可愛模型，輕鬆做出專業級烘焙小點!(隨書附贈胖次熊主題造型6件組餅乾壓模),賴琬茹,2019-05-01,"
\真正的初學者餅乾書/   烘焙達人親授完美配方比例，口口美味、款款吸睛   零烘焙經驗也能輕鬆上手的超入門造型夾心餅乾書   |初入門的烘焙新手也可以|   ◊ 從麵團開始，圖解步驟詳解製作關鍵，烘焙新手也...more
",https://www.books.com.tw/products/0010819420?loc=P_0003_008
9,口感多變的手工餅乾,"許正忠,詹陽竹",2019-04-15,"
酥鬆類、硬脆類、柔韌類、層酥類。 72種手工餅乾，讓你體驗烘焙的樂趣。 蛋白打發、糖油拌和基本製作法，讓你輕鬆做出好吃的手工餅乾。   「配方簡單、步驟正確、成品高級、做法簡易」，並且依照飯店手工...more
",https://www.books.com.tw/products/0010818857?loc=P_0003_009
10,手作烘焙教科書：麵包、西點與餅乾╳美味的無限可能,呂昇達,2019-02-25,"
頂級烘焙名師親授! 無價的5堂課，102款不藏私暖心配方   「簡單、美味、好製作」是本書最重要的核心，   收錄的品項都是初學者也能上手，做起來輕鬆優雅的產品。   全書以Lesson(課程)為單位，循序漸進，...more
",https://www.books.com.tw/products/0010813482?loc=P_0003_010
11,餅乾製作：麵糰、夾心、披覆 輕鬆學,何國熙,2019-01-28,"
一同進入烘焙達人的魔法學堂，   隨心變魔法，色、相、味俱全的餅乾製作技法，   完整流程一目了然，居家自學一點就通。   本書為餅乾製作的入門書籍，內容涵蓋餅乾麵糰(糊)、夾心及披覆等範疇，以紮實清...more
",https://www.books.com.tw/products/0010832037?loc=P_0003_011
12,英倫風手繪糖霜餅乾100款,"一般社團法人日本Salonaise協會,池田まきこ",2019-01-28,"
英倫風優雅造型×28種可愛主題×100款甜蜜滋味   把可口的餅乾當作畫布、甜蜜繽紛的糖霜當作畫筆，   盡情彩繪出色彩豐富的夢幻世界吧!   可愛的英國大頭兵、美味的維多利亞蛋糕、   毛茸茸的泰迪熊、充滿節...more
",https://www.books.com.tw/products/0010811494?loc=P_0003_012
13,世界餅乾同樂會：101道零失敗人氣手作點心x15種美味餡料,"ARIEL,Bonnie,FANNY,Panasonic 國際牌 NB-H3200/3800烤箱烘焙、料理、材料交流園地,凱恩,小朵,社長西西,米粒",2019-01-28,"
最熱門的烘培社團公認，6萬社員一致說讚   *從基礎開始，圖解標示麵糰製作的關鍵，適合烘焙新手。   *一圖一步驟，餅乾配方標示明確，只要跟著做，一定做得出來。   *清楚列出烤箱預熱溫度/上下火溫度/時...more
",https://www.books.com.tw/products/0010812887?loc=P_0003_013
14,簡單做就好吃 小烤箱餅乾烘焙課,陳佳琪,2018-11-15,"
超厲害的名店配方 軟‧脆‧硬‧酥‧鬆 美味口感學得會也做得出來 關鍵技術圖解秒學 不僅解答對食材、器材的所有疑問 簡單學!就會調製麵粉‧油脂‧糖‧水的完美配方比例 簡單做!就能做出自己愛吃又可以送人當禮物...more
",https://www.books.com.tw/products/0010804096?loc=P_0003_014
15,囍餅Wedding Cookies：手作屬於你的法式餅乾,郭品岑,2018-10-12,"
★第一本專門製作手工喜餅的食譜書。 ★每一道餅乾都有獨特的浪漫誓言。 ★和你愛的他，一起烘焙出專屬你們的愛情密碼。   那一天，看著你單膝下跪，我便笑著說我願意。   眼角滑落感動的淚水，我知道這是一...more
",https://www.books.com.tw/products/0010799704?loc=P_0003_015
16,C.bonbonの絕美糖霜餅乾：日本最難預約的超人氣課程!,生島稚亜子,2018-07-18,"
Welcome to C.bonbon!   在日本預約報名後，   要等一年才能上課的超人氣糖霜餅乾教室C.bonbon。   現在不必出國排隊，   透過本書就能做出最完美的糖霜餅乾!   與一般的糖霜餅乾不同，   C.bonbon用......more
",https://www.books.com.tw/products/0010793271?loc=P_0003_016
17,人氣RESSOURCES菓子工坊餅乾配方大公開!,新田あゆ子,2018-07-10,"
風靡東京受邀前駐銀座松屋，以餅乾擄獲大量粉絲!   東京鐵塔下的人氣RESSOURCES菓子工坊   ★餅乾配方大公開★   即使是餅乾，隨便製作絕對無法精進!   餅乾雖然看似做法簡單，但所謂的「製作」，絕不是隨便...more
",https://www.books.com.tw/products/0010790874?loc=P_0003_017
18,杯緣掛耳糖霜餅乾：攀掛在杯口上，可愛療癒的64款餅乾杯緣子,Trigo e Cana,2018-04-11,"
掛在杯子上的萌翻人“糖霜餅乾杯緣子”，   讓午茶時光變得有趣極了!   滴滴答答的下雨天~   在紅茶杯上掛上繽紛雨傘餅乾來改變心情♡   陽光燦爛的早晨，   在牛奶杯上掛上奶油吐司開啟一天的元氣♪   在公園...more
",https://www.books.com.tw/products/0010783985?loc=P_0003_018
19,ICEBOX童話系冰盒餅乾：揉疊、冷凍、切片、烘烤，不用裝飾就超可愛的,福本美樹,2018-02-22,"
手拙→OK 不會畫畫→OK 捏一捏、疊一疊、冰一冰、切一切 你也能玩出安心無添加的彩色圖案餅乾♪   NO→色素糖霜   NO→擠花裝飾   NO→造型模具   像玩黏土般的揉揉捏捏、   像玩積木般的拼接組合，   每一刀的...more
",https://www.books.com.tw/products/0010779546?loc=P_0003_019
20,閃閃發亮、繽紛可愛!看了就想跟著做的彩繪玻璃餅乾(附：Galaxy糖心玻璃餅乾模),迷妮愛上貓,2018-02-08,"
【Galaxy糖心玻璃餅乾模】X《超夢幻餅乾食譜》 席捲日本IG、少女心炸裂的甜蜜系玻璃餅乾， 教你在家輕鬆做，就算零經驗也能立即上手!   ◎什麼是玻璃餅乾?和一般餅乾有什麼不同?   有別於一般餅乾，玻璃餅...more
",https://www.books.com.tw/products/0010776877?loc=P_0003_020
21,平底鍋餅乾：免烤箱!用一隻鐵鍋完成33款美味小點心,莎賓娜‧弗達－侯樂,2018-01-19,"
不用烤箱，只需10~15分鐘 就能輕鬆完成漂亮又美味的平底鍋餅乾!   繼馬克杯蛋糕、平底鍋蛋糕後，襲捲歐美日大小廚房，   每個家庭餐桌上最熱門的甜點，就是「最強平底鍋餅乾」! 本書特色   ★沒有烤箱也能...more
",https://www.books.com.tw/products/0010775859?loc=P_0003_021
