,書名,作者,出版日期,內容介紹,網址
1,TOURBILLON：楊•布里斯的陀飛輪擠花甜點聖經,楊•布里斯,2020-07-04,"
巴黎最具影響力甜點主廚之一、法國最佳工藝職人 楊・布里斯 誠意傳授 風靡全球法式甜點界.陀飛輪裝飾技巧 48道配方╳獨家風味組合╳立體剖面圖  作者楊・布里斯於2009 年創造將甜點放在陶藝轉盤上的「陀飛輪...more
",https://www.books.com.tw/products/0010862471?loc=P_0003_001
2,蔬食共和國：酪梨vs番茄和速配的蔬果、五穀雜糧的百變吃法，每一口，都美味、滿足與療癒!,李耀堂,2020-06-17,"
蔬食是未來的生活風格與料理新潮流! 全台第一本以酪梨、番茄為主， 和速配的食材，完美無國界蔬食料理，日日幸福上桌!   全世界都在瘋酪梨，營養價值高，含有可幫助維持免疫系統健康的維生素E，和幫助維持...more
",https://www.books.com.tw/products/0010860796?loc=P_0003_002
3,食樂：120℃低溫、減醣、低碳、排毒減敏的安心料理，吃對食物，健康、美味又快樂!,喻碧芳,2020-03-11,"
低溫、減醣、低碳、排毒減敏，是喻碧芳老師二十多年來學習天然有機、自然醫學的心得，如今將所有要點融會成一本實用秘笈，歡迎大家跟著喻老師，以天然食物和適材適溫的烹調，維護身體健康又吃得開心!   喜...more
",https://www.books.com.tw/products/0010851117?loc=P_0003_003
4,大和御廚 魚料理：宮内廳御用達萬屋調理師會會長親授!從高檔魚到平價魚，從刀工到食譜，色香味俱全的魚料理祕訣!,遠藤十士夫,2020-01-17,"
魚的內臟處理、分切技巧、去皮除骨手法、各種烹煮方式 一本關於「魚」的專業料理食譜書 為您提供日式料理中，關於烹調「魚」的一切精隨!   在日式料理中，魚料理占了相當大的不凡地位。   舉凡壽司、生魚...more
",https://www.books.com.tw/products/0010846958?loc=P_0003_004
5,頂尖糕點HAUTE PÂTISSERIE：收錄全球最佳糕點主廚的100道作品，集結最多MOF法國最佳職人，與世界甜點冠軍的原創糕點配方,Relais Desserts法國甜點協會,2020-01-08,"
最多MOF、世界甜點冠軍參與 收錄全世界頂尖糕點師的原創作品! 網羅所有糕點製作必備的技巧、建議、與訣竅! 從食材的選擇˙搭配˙組成˙應用，傳授詳盡知識與變化 集結MOF法國最佳職人，與世界甜點冠軍!   能...more
",https://www.books.com.tw/products/0010843405?loc=P_0003_005
6,華麗蛋糕卷：BÛCHES!鏡面×翻糖×千層×冰霜等經典法式技法X45道星級蛋糕卷配方,"克里斯多夫．費爾德,卡米爾．勒賽克",2019-12-21,"
❄出版後蟬聯法國Amazon冰品類書籍排行榜第一名 你知道蛋糕卷在法國是頂級的糕點技藝嗎? 繽紛繁複的裝飾、多元組合的餡料口感，顛覆你對蛋糕卷的想像! Bûches木柴蛋糕(形似台灣的蛋糕卷)是法國的經典糕點。...more
",https://www.books.com.tw/products/0010843063?loc=P_0003_006
7,基哥盛宴,李文基,2019-12-12,"
世界御廚鮑魚大王楊貫一真徒、香港資深名廚人稱基哥的李文基，繼《鮑參翅肚燕》後，再下一城為讀者炮製佳餚食譜《基哥盛宴》，除了繼續收錄極受歡迎的鮑魚、遼參、花膠等的獨門烹飪心得外，亦新增了基哥獨...more
",https://www.books.com.tw/products/0010843904?loc=P_0003_007
8,甄文達的香港味道：懷舊之味,甄文達,2019-12-12,"
傳統名菜、經典演繹帶出昔日香港味道，   奮鬥故事、名廚分享延續香港打拚精神。   《甄文達的香港味道》旨在把香港的傳統名菜重新演繹，讓經典重現於讀者眼前。為編寫本書，作者尋訪香港各食店名廚，進行...more
",https://www.books.com.tw/products/0010844077?loc=P_0003_008
9,MASAの樂樂便當：廚房新手快樂輕鬆學123道美味便當菜【暢銷紀念版】,MASA,2019-11-27,"
MASA的第1本便當食譜 ★★暢銷珍藏版★★ 冷便當、常備菜、瘦身低卡便當…… 讓廚房新手享受自炊的快樂初心。 1800張詳細步驟╳123道便當菜╳6大類菜色 絕不失敗的最強便當書!   【特別收錄】5000名網友瘋狂轉載!2...more
",https://www.books.com.tw/products/0010840541?loc=P_0003_009
10,MASA的四季幸福餐桌：100道療癒心靈的特製季節料理,MASA（山下 勝）,2019-11-13,"
Facebook與You Tube共130萬名粉絲追蹤關注，網路最受歡迎的超人氣日本名主廚MASA， 一年一度完美企畫，根據日本四季行事曆，精心設計特製的季節料理。 書中不僅有餐廳級美食，也介紹了許多令人懷念的傳統...more
",https://www.books.com.tw/products/0010838719?loc=P_0003_010
