,書名,作者,出版日期,內容介紹,網址
1,蛋與吐司的美味組合公式：Coffeehouse時尚輕食~雞蛋三明治的終極探索，注入新菜單的研發靈感,永田唯,2020-11-02,"
反向思考，以配料雞蛋為主角， 徹底研究「蛋」與「麵包」的最佳組合方式。  半生➾半熟➾全熟X磨碎➾切塊➾切片X水煮➾油煎➾烘烤 只是細節的些微差異，組合出來就是不同的滋味    雞蛋是三明治的眾多材料中，最...more
",https://www.books.com.tw/products/0010874198?loc=P_0003_001
2,歐風人氣輕食套書(法式鹹派，優雅上桌暢銷紀念版Quiche + 手工披薩，熱烤出爐),金一鳴  Jimmi Chin,2020-08-29,"
主廚金一鳴傾囊相授鹹派╱披薩心法，專業╱素人最佳參考書，讀者照書操作都成功! 最暢銷的法式鹹派&義式披薩專書!歐風人氣輕食，在家就能優雅出爐! 不藏私傳授製作祕訣，你也能做出迷倒眾人的專業風味。 【...more
",https://www.books.com.tw/products/0010867942?loc=P_0003_002
3,一起來.吃早餐：早餐不設限，國民媽媽省時又營養的早餐提案,宜手作,2020-07-09,"
完美早餐新組合 滋味飽滿又豐富 前一晚先備料，早上起來就可以輕鬆完成美味又營養的早餐喔! 省時健康的早餐提案， 飽足感十足的營養早餐新選擇， 用美味喚醒一整天的元氣， 國民媽媽宜手作的夢幻早餐清單...more
",https://www.books.com.tw/products/0010862825?loc=P_0003_003
4,紐約米其林餐廳不外傳的豐盛美味‧瘦身沙拉，簡單易學的81道健康沙拉、低卡義大利麵及燉飯,張世姬,2020-06-18,"
《瘦身主廚特製!81道常備瘦身料理》暢銷全新封面版 美國、韓國爆紅的減肥沙拉關鍵在這裡! 紐約人氣餐廳提供的營養瘦身食譜， 打破健康食物就不好吃的偏見! 跟著米其林主廚做 高營養+低熱量+飽足感的美味沙...more
",https://www.books.com.tw/products/0010860683?loc=P_0003_004
5,跟米其林大廚學保鮮盒快沙拉(暢銷修訂版)：美味秒殺!3分鐘上桌，在家享受主餐級的食材搭配和調醬技法!,李玲熙（Olivia Lee）,2020-06-04,"
★《跟米其林大廚學保鮮盒快沙拉》暢銷修訂版★ 一上市即再版，讀者好評不斷! 媲美主餐的私房沙拉全書，強力回歸!    當一位熱愛沙拉的米其林主廚，嫁給另一位熱愛沙拉的米其林主廚，   一本徹底滿足「沙拉...more
",https://www.books.com.tw/products/0010859507?loc=P_0003_005
6,MASA，早安!我們一起吃Brunch吧!：每天都想吃的102道超人氣美味早午餐食譜【暢銷典藏版】,MASA(山下勝),2020-05-27,"
從今天開始，跟著MASA一起做Brunch，簡單、安全又好吃! 本來要到咖啡館、餐廳或飯店才能夠享受到的美味料理， 就可以輕鬆愜意地端上專屬於自己的餐桌，享受晨間好食光! Yes!Let’s Have a Good Brunch Time...more
",https://www.books.com.tw/products/0010859141?loc=P_0003_006
7,輕食與開胃小品,林勃攸,2020-04-07,"
73道外觀精緻、作法超簡單食譜， 讓餐桌充滿異國風情! 帶您透過輕食Tapas， 進入西班牙熱情的烹飪世界! 熱帶的豐盛物產與各種香料， 讓南洋小點充滿活力。 本書特色   歷史悠久的開胃小食，在家自己做   ...more
",https://www.books.com.tw/products/0010854027?loc=P_0003_007
8,家庭早餐和下午茶,楊塵,2020-02-17,"
◎熟男私房料理148道西式輕食，歡聚、聯誼不可或缺的美食小點!   ◎居家休閒，朋友相聚、商務洽談，輕鬆的下午茶餐點信手捻來，感情跟著升溫。   ◎聚餐不用外燴，在家也能隨心所欲製作創意安心又健康的聚會...more
",https://www.books.com.tw/products/0010848583?loc=P_0003_008
9,豐盛的早午餐烘焙全書：從手作麵包、開胃配菜、沙拉、飲品、湯品到醬汁的百變美味組合(二版),蜜塔木拉,2020-02-05,"
《野生酵母研究室》作者的第一本重磅之作。 從手做麵包、開胃配菜，搭配湯品和飲品，甚至到餐後小點心， 跳脫「做麵包」的框架，進入「麵包料理」的新境界。   作者沒有在麵包店打過工，也沒有接受過什麼...more
",https://www.books.com.tw/products/0010847504?loc=P_0003_009
10,三明治研究室暢銷典藏版：拆解層疊美味，從家常經典到進階開店，世界級三明治全收錄!,永田唯,2019-12-12,"
史上最強!世界級三明治組成細節究極公開 7個國家、25種菜單、四季更迭，143款食譜 從麵包挑選、切法，到食材醬料搭配、鋪排層疊 關於三明治的所有美味秘訣與文化就看這一本! 暢銷典藏版熱情上市~ 三明治是...more
",https://www.books.com.tw/products/0010841622?loc=P_0003_010
11,我愛沙拉,楊塵,2019-11-01,"
熟男主廚的147道輕食料理，教你享受健康、自然、美味的無負擔新生活。   ◎以蔬菜、水果入菜，健康、自然、美味的147道沙拉料理。   ◎善待自己的第一步：從日常生活飲食自己動手開始。   ◎在家也能隨心所欲...more
",https://www.books.com.tw/products/0010838082?loc=P_0003_011
