,書名,作者,出版日期,內容介紹,網址
1,致富小本滷味：黃金滷汁滾出高營收!全台賺錢滷味一網打盡!,柚子,2020-10-05,"
小生意、大商機， 必學賺錢滷汁39款vs.必賣搶錢滷味340種， 帶你前進百億滷味市場，開啟無遠弗屆的賺錢版圖， 靠小本滷味翻轉人生!    攤車OK‧店面OK‧網購OK   任一種經營型態都讓你赚翻天    ●滷味是街邊...more
",https://www.books.com.tw/products/0010871610?loc=P_0003_001
2,開家賺錢的冰品專賣店：剉出百萬營收、刨出滾滾財源,吳佩諭,2020-08-24,"
5萬創業、5成利潤 古早味到流行款、冰涼品到熱甜品 240種冰店的全品項菜單，不分四季都能賣!    站穩創業基礎、開啟財源大門   市佔率第一人氣的清涼刨冰‧最受歡迎口感獨特的雪綿冰‧屹立不搖香濃的冷熱豆...more
",https://www.books.com.tw/products/0010867746?loc=P_0003_002
3,The Burger職人漢堡：向專業手工漢堡名店取經，創造絕對美味的極致方程式,柴田書店,2020-08-17,"
收錄東京10家漢堡名店經典食譜，從解構漢堡各部位，到創業經驗分享，感受漢堡做為料理的寬廣度和魅力。    肉餡Patties   漢堡最核心的部位，也是最能展現創意及工夫之處。口感可做成鬆軟，也可保有肉的咬...more
",https://www.books.com.tw/products/0010866802?loc=P_0003_003
4,冷麵職人賞!202道開店菜單不藏私,旭屋出版編輯部,2020-08-05,"
日本職人來上菜!夏日特輯! 冰涼冷麵繁盛店熱賣菜單!獨家公開! 拌麵、湯麵、香辣麵……美味絕活全解析!    天氣炎熱至極，湯麵、熱食難以入口，那就試試冷麵吧~   將名店、繁盛店家獨門冷麵技術製法大公開，...more
",https://www.books.com.tw/products/0010865508?loc=P_0003_004
5,16位專業主廚 最新調理機器活用技術教本：蒸氣烤箱/真空調理機/急速冷凍櫃/VCC 多功能料理機,旭屋出版編輯部,2020-07-20,"
大量烹調或SOP化不再是難點 想解決人手不足的問題，想呈現各國料理 同時進行正餐與甜點 專業主廚不可或缺的廚房幫手    說到主廚，想必多數人首先映入腦海的，便是戴著高帽，在廚房裡拿著鍋鏟炒菜的身影，...more
",https://www.books.com.tw/products/0010863495?loc=P_0003_005
6,宅經濟當道的外送人氣小廚秘笈：省房租、省裝潢、省座位、省人力的數位經濟新食代攻略,許志滄,2020-07-06,"
依賴科技的新消費模式×美食外送平台崛起， 只須一張菜單、一位師傅，你就能輕鬆創業!    揭秘主食、飲品、配菜等人氣餐點做法、增值訣竅，   讓你在宅居時代、景氣寒冬中，用低成本創造出新收入!    宅經...more
",https://www.books.com.tw/products/0010863199?loc=P_0003_006
7,刨冰 夢幻冰涼逸品開店教本,旭屋出版編輯部,2020-07-06,"
白白的雪花佐以五顏六色的果漿 嚐一口 綿密的滋味如同仲夏舌尖上的雲朵    高解析度刨冰美圖，挑逗你的視覺極限!   詳盡的糖漿製作步驟，圖文解說讓你一步步跟著實踐!   美味店家資訊，為你介紹日本人氣朝...more
",https://www.books.com.tw/products/0010863058?loc=P_0003_007
8,臺灣在地小吃【典藏版】：總鋪師秘笈大公開,"廖書逸,施建發(阿發師),許文賢,陳志昇",2020-07-02,"
本書從臺灣小吃的分類、特色談起，鉅細靡遺地介紹各種常見的材料、器具，並由淺入深地講解臺灣小吃製作的基礎，從前處理的訣竅到高湯、醬料的熬煮，都有詳盡的圖文說明，更收錄多種馳名中外的小吃食譜，  ...more
",https://www.books.com.tw/products/0010863539?loc=P_0003_008
9,GELATO 義式冰淇淋開店指導教本,根岸清,2020-05-10,"
多達70種以上，多款冰淇淋&雪酪食譜 純天然的冰涼甜美滋味!綿密滑順而入口即化~ 不論是常態商品或款待甜點，都非常合適!   您經營的店鋪內，少了幾道令人耳目一新的甜點商品嗎?   您想增加幾項吸引女性或...more
",https://www.books.com.tw/products/0010857615?loc=P_0003_009
10,珍珠奶茶 水果茶 開店夢想技術教本：開一家手搖飲料店!,"片倉康博,田中美奈子",2020-04-27,"
最夯的手搖飲品!最吸睛的打卡商品! 珍珠奶茶、水果茶飲品調製配方大公開 ──不僅能為自家餐廳增添吸客商品， 也能免加盟就開家自己的飲料店!   手搖飲品盛行的台灣，主打各種特色飲品的商店也越開越多家。...more
",https://www.books.com.tw/products/0010855224?loc=P_0003_010
